airdrop_name,positive,neutral,negative,total,total_words,positive_percentage,neutral_percentage,negative_percentage,scam_probability,is_scam
Corridor Finance,0,0,0,0,0,0,0,0,0,False
Nyan Heroes,1,0,0,1,612,100.0,0.0,0.0,-0.0016339869281045752,False
Cyber,92,42,59,193,32132,47.66839378238342,21.761658031088082,30.569948186528496,-0.0010270135690277605,False
Ouinex,0,0,0,0,0,0,0,0,0,False
zkSync,209,29,12,250,34838,83.6,11.600000000000001,4.8,-0.00565474481887594,False
DOGS,167,63,154,384,31605,43.48958333333333,16.40625,40.10416666666667,-0.0004113273216263249,False
Pontem,5,1,0,6,751,83.33333333333334,16.666666666666664,0.0,-0.006657789613848202,False
ether.fi,14,0,9,23,5144,60.86956521739131,0.0,39.130434782608695,-0.0009720062208398134,False
Ostium,4,2,1,7,2276,57.14285714285714,28.57142857142857,14.285714285714285,-0.0013181019332161687,False
Ancient8,2,0,0,2,204,100.0,0.0,0.0,-0.00980392156862745,False
Usual,485,419,194,1098,143152,44.17122040072859,38.16029143897997,17.66848816029144,-0.002032804291941433,False
BlastUP,3,4,12,19,3548,15.789473684210526,21.052631578947366,63.1578947368421,0.002536640360766629,False
Base,1893,865,667,3425,610542,55.270072992700726,25.255474452554743,19.474452554744527,-0.002008051862115956,False
Reactor Fusion,0,0,0,0,0,0,0,0,0,False
Merkle Trade,0,0,0,0,0,0,0,0,0,False
PancakeSwap,35,21,7,63,18318,55.55555555555556,33.33333333333333,11.11111111111111,-0.001528551151872475,False
MYX,3,4,0,7,3722,42.857142857142854,57.14285714285714,0.0,-0.0008060182697474476,False
IBX,20,8,11,39,9384,51.28205128205128,20.51282051282051,28.205128205128204,-0.0009590792838874681,False
Texture,22,9,2,33,5227,66.66666666666666,27.27272727272727,6.0606060606060606,-0.003826286588865506,False
VaultCraft,6,9,4,19,2050,31.57894736842105,47.368421052631575,21.052631578947366,-0.000975609756097561,False
Newtify,0,0,0,0,0,0,0,0,0,False
Grass,20,15,19,54,10724,37.03703703703704,27.77777777777778,35.18518518518518,-9.324878776575905e-05,False
Lavarage,1,0,1,2,56,50.0,0.0,50.0,0.0,False
Scroll,77,19,10,106,16619,72.64150943396226,17.92452830188679,9.433962264150944,-0.00403153017630423,False
Swords & Dungeons,0,0,0,0,24,0,0,0,0,False
Rain.fi,0,0,0,0,46,0,0,0,0,False
Macaron,7,2,2,11,1012,63.63636363636363,18.181818181818183,18.181818181818183,-0.004940711462450593,False
Clone,28,47,16,91,12460,30.76923076923077,51.64835164835166,17.582417582417584,-0.0009630818619582664,False
Symbiotic,13,3,6,22,4475,59.09090909090909,13.636363636363635,27.27272727272727,-0.0015642458100558658,False
SuperBoring,0,0,0,0,0,0,0,0,0,False
Mocaverse,2,2,0,4,735,50.0,50.0,0.0,-0.0027210884353741495,False
Allora,0,0,1,1,691,0.0,0.0,100.0,0.001447178002894356,False
Jupiter,4,5,2,11,2568,36.36363636363637,45.45454545454545,18.181818181818183,-0.000778816199376947,False
Kroma,4,0,0,4,1261,100.0,0.0,0.0,-0.0031720856463124504,False
Amphor,1,0,0,1,157,100.0,0.0,0.0,-0.006369426751592357,False
LI.FI,4,1,1,6,2741,66.66666666666666,16.666666666666664,16.666666666666664,-0.0010944910616563297,False
ZKcandy,1,0,0,1,18,100.0,0.0,0.0,-0.05555555555555555,False
Napier Finance,0,0,0,0,0,0,0,0,0,False
Gate.io,33,20,13,66,12128,50.0,30.303030303030305,19.696969696969695,-0.0016490765171503958,False
Sunrise,2,0,29,31,1134,6.451612903225806,0.0,93.54838709677419,0.023809523809523808,False
DeBank,49,3,6,58,3127,84.48275862068965,5.172413793103448,10.344827586206897,-0.013751199232491206,False
Rage Trade,4,2,0,6,627,66.66666666666666,33.33333333333333,0.0,-0.006379585326953748,False
Zircuit,0,0,0,0,850,0,0,0,0,False
Super Champs,2,0,0,2,171,100.0,0.0,0.0,-0.011695906432748537,False
Injera,4,1,0,5,357,80.0,20.0,0.0,-0.011204481792717087,False
PredX,1,1,0,2,111,50.0,50.0,0.0,-0.009009009009009009,False
Units,97,57,24,178,29961,54.49438202247191,32.02247191011236,13.48314606741573,-0.002436500784352992,False
Camp Network,12,10,7,29,6706,41.37931034482759,34.48275862068966,24.137931034482758,-0.0007456009543692216,False
Rivalz Network,5,0,0,5,767,100.0,0.0,0.0,-0.00651890482398957,False
10K Dex,1,1,1,3,663,33.33333333333333,33.33333333333333,33.33333333333333,0.0,False
squid,23,15,18,56,12402,41.07142857142857,26.785714285714285,32.142857142857146,-0.0004031607805192711,False
GOAT Gaming,0,0,0,0,0,0,0,0,0,False
