model,threshold,accuracy,precision,recall,f1,f2
BERT,0.1,0.135678391959799,0.022857142857142857,0.8,0.044444444444444446,0.10256410256410256
BERT,0.2,0.16331658291457288,0.015015015015015015,0.5,0.029154518950437316,0.06702412868632708
BERT,0.30000000000000004,0.1934673366834171,0.012539184952978056,0.4,0.0243161094224924,0.055710306406685235
BERT,0.4,0.8542713567839196,0.0,0.0,0.0,0.0
BERT,0.5,0.8668341708542714,0.0,0.0,0.0,0.0
BERT,0.6,0.8819095477386935,0.0,0.0,0.0,0.0
BERT,0.7000000000000001,0.8994974874371859,0.0,0.0,0.0,0.0
BERT,0.8,0.9296482412060302,0.0,0.0,0.0,0.0
Custom Dict,0.1,0.05025125628140704,0.01832460732984293,0.7,0.03571428571428571,0.08293838862559241
Custom Dict,0.2,0.05025125628140704,0.01832460732984293,0.7,0.03571428571428571,0.08293838862559241
Custom Dict,0.30000000000000004,0.05527638190954774,0.018421052631578946,0.7,0.035897435897435895,0.08333333333333333
Custom Dict,0.4,0.05778894472361809,0.018469656992084433,0.7,0.03598971722365039,0.08353221957040573
Custom Dict,0.5,0.05778894472361809,0.018469656992084433,0.7,0.03598971722365039,0.08353221957040573
Custom Dict,0.6,0.964824120603015,0.0,0.0,0.0,0.0
Custom Dict,0.7000000000000001,0.9673366834170855,0.0,0.0,0.0,0.0
Custom Dict,0.8,0.9698492462311558,0.0,0.0,0.0,0.0
RoBERTa,0.1,0.09296482412060302,0.026954177897574125,1.0,0.05249343832020997,0.12165450121654502
RoBERTa,0.2,0.11306532663316583,0.022284122562674095,0.8,0.04336043360433604,0.10025062656641603
RoBERTa,0.30000000000000004,0.135678391959799,0.020114942528735632,0.7,0.03910614525139665,0.09020618556701031
RoBERTa,0.4,0.8693467336683417,0.022727272727272728,0.1,0.037037037037037035,0.05952380952380952
RoBERTa,0.5,0.8743718592964824,0.023809523809523808,0.1,0.038461538461538464,0.06097560975609756
RoBERTa,0.6,0.8869346733668342,0.0,0.0,0.0,0.0
RoBERTa,0.7000000000000001,0.907035175879397,0.0,0.0,0.0,0.0
RoBERTa,0.8,0.9195979899497487,0.0,0.0,0.0,0.0
TextBlob,0.1,0.05527638190954774,0.025906735751295335,1.0,0.050505050505050504,0.11737089201877934
TextBlob,0.2,0.0728643216080402,0.026385224274406333,1.0,0.05141388174807198,0.11933174224343675
TextBlob,0.30000000000000004,0.08040201005025126,0.026595744680851064,1.0,0.05181347150259067,0.1201923076923077
TextBlob,0.4,0.08542713567839195,0.026737967914438502,1.0,0.052083333333333336,0.12077294685990338
TextBlob,0.5,0.9623115577889447,0.0,0.0,0.0,0.0
TextBlob,0.6,0.9698492462311558,0.0,0.0,0.0,0.0
TextBlob,0.7000000000000001,0.9698492462311558,0.0,0.0,0.0,0.0
TextBlob,0.8,0.9698492462311558,0.0,0.0,0.0,0.0
VADER,0.1,0.06532663316582915,0.02368421052631579,0.9,0.046153846153846156,0.10714285714285714
VADER,0.2,0.08040201005025126,0.02406417112299465,0.9,0.046875,0.10869565217391304
VADER,0.30000000000000004,0.09296482412060302,0.024390243902439025,0.9,0.047493403693931395,0.1100244498777506
VADER,0.4,0.09798994974874371,0.021917808219178082,0.8,0.042666666666666665,0.09876543209876543
VADER,0.5,0.9547738693467337,0.0,0.0,0.0,0.0
VADER,0.6,0.9597989949748744,0.0,0.0,0.0,0.0
VADER,0.7000000000000001,0.9597989949748744,0.0,0.0,0.0,0.0
VADER,0.8,0.9623115577889447,0.0,0.0,0.0,0.0
