model,threshold,accuracy,precision,recall,f1,f2,roc_auc
BERT,0.1,0.11809045226130653,0.01971830985915493,0.7,0.038356164383561646,0.08860759493670886,0.6121134020618557
BERT,0.2,0.14824120603015076,0.02040816326530612,0.7,0.039660056657223795,0.09138381201044386,0.6121134020618557
BERT,0.30000000000000004,0.1658291457286432,0.020833333333333332,0.7,0.04046242774566474,0.09308510638297872,0.6121134020618557
BERT,0.4,0.8065326633165829,0.0759493670886076,0.6,0.1348314606741573,0.25210084033613445,0.6121134020618557
BERT,0.5,0.8417085427135679,0.09230769230769231,0.6,0.16,0.2857142857142857,0.6121134020618557
BERT,0.6,0.8618090452261307,0.07547169811320754,0.4,0.12698412698412698,0.21505376344086022,0.6121134020618557
BERT,0.7000000000000001,0.8819095477386935,0.08888888888888889,0.4,0.14545454545454545,0.23529411764705882,0.6121134020618557
BERT,0.8,0.8969849246231156,0.10256410256410256,0.4,0.16326530612244897,0.25316455696202533,0.6121134020618557
Custom Dict,0.1,0.052763819095477386,0.01837270341207349,0.7,0.03580562659846547,0.0831353919239905,0.36804123711340203
Custom Dict,0.2,0.05778894472361809,0.018469656992084433,0.7,0.03598971722365039,0.08353221957040573,0.36804123711340203
Custom Dict,0.30000000000000004,0.05778894472361809,0.018469656992084433,0.7,0.03598971722365039,0.08353221957040573,0.36804123711340203
Custom Dict,0.4,0.05778894472361809,0.018469656992084433,0.7,0.03598971722365039,0.08353221957040573,0.36804123711340203
Custom Dict,0.5,0.9698492462311558,0.0,0.0,0.0,0.0,0.36804123711340203
Custom Dict,0.6,0.9723618090452262,0.0,0.0,0.0,0.0,0.36804123711340203
Custom Dict,0.7000000000000001,0.9748743718592965,0.0,0.0,0.0,0.0,0.36804123711340203
Custom Dict,0.8,0.9748743718592965,0.0,0.0,0.0,0.0,0.36804123711340203
RoBERTa,0.1,0.0728643216080402,0.023872679045092837,0.9,0.046511627906976744,0.1079136690647482,0.5474226804123712
RoBERTa,0.2,0.09798994974874371,0.02452316076294278,0.9,0.04774535809018567,0.11056511056511056,0.5474226804123712
RoBERTa,0.30000000000000004,0.13819095477386933,0.02564102564102564,0.9,0.04986149584487535,0.11508951406649616,0.5474226804123712
RoBERTa,0.4,0.8793969849246231,0.06818181818181818,0.3,0.1111111111111111,0.17857142857142858,0.5474226804123712
RoBERTa,0.5,0.8944723618090452,0.07894736842105263,0.3,0.125,0.19230769230769232,0.5474226804123712
RoBERTa,0.6,0.9020100502512562,0.03225806451612903,0.1,0.04878048780487805,0.07042253521126761,0.5474226804123712
RoBERTa,0.7000000000000001,0.9120603015075377,0.037037037037037035,0.1,0.05405405405405406,0.07462686567164178,0.5474226804123712
RoBERTa,0.8,0.9170854271356784,0.04,0.1,0.05714285714285714,0.07692307692307693,0.5474226804123712
TextBlob,0.1,0.04522613065326633,0.023195876288659795,0.9,0.04522613065326633,0.10514018691588785,0.47448453608247426
TextBlob,0.2,0.05778894472361809,0.02349869451697128,0.9,0.04580152671755725,0.10638297872340426,0.47448453608247426
TextBlob,0.30000000000000004,0.06281407035175879,0.023622047244094488,0.9,0.04603580562659847,0.10688836104513064,0.47448453608247426
TextBlob,0.4,0.0728643216080402,0.023872679045092837,0.9,0.046511627906976744,0.1079136690647482,0.47448453608247426
TextBlob,0.5,0.9748743718592965,0.0,0.0,0.0,0.0,0.47448453608247426
TextBlob,0.6,0.9748743718592965,0.0,0.0,0.0,0.0,0.47448453608247426
TextBlob,0.7000000000000001,0.9748743718592965,0.0,0.0,0.0,0.0,0.47448453608247426
TextBlob,0.8,0.9748743718592965,0.0,0.0,0.0,0.0,0.47448453608247426
VADER,0.1,0.06532663316582915,0.02617801047120419,1.0,0.05102040816326531,0.11848341232227488,0.3938144329896907
VADER,0.2,0.08793969849246232,0.02680965147453083,1.0,0.05221932114882506,0.12106537530266344,0.3938144329896907
VADER,0.30000000000000004,0.10301507537688442,0.024657534246575342,0.9,0.048,0.1111111111111111,0.3938144329896907
VADER,0.4,0.10552763819095477,0.019444444444444445,0.7,0.03783783783783784,0.0875,0.3938144329896907
VADER,0.5,0.9422110552763819,0.0,0.0,0.0,0.0,0.3938144329896907
VADER,0.6,0.949748743718593,0.0,0.0,0.0,0.0,0.3938144329896907
VADER,0.7000000000000001,0.9522613065326633,0.0,0.0,0.0,0.0,0.3938144329896907
VADER,0.8,0.9623115577889447,0.0,0.0,0.0,0.0,0.3938144329896907
