model,threshold,accuracy,precision,recall,f1
BERT,0.005,0.812374245472837,0.05509641873278237,0.4,0.09685230024213075
BERT,0.0035,0.7671026156941649,0.04814004376367615,0.44,0.08678500986193294
BERT,0.0095,0.8797786720321932,0.04784688995215311,0.2,0.07722007722007722
BERT,0.003,0.7565392354124748,0.04979253112033195,0.48,0.09022556390977443
BERT,0.001,0.6624748490945674,0.042709867452135494,0.58,0.07956104252400549
Custom Dict,0.005,0.9552313883299799,0.046511627906976744,0.04,0.043010752688172046
Custom Dict,0.0035,0.9512072434607646,0.05660377358490566,0.06,0.05825242718446602
Custom Dict,0.0095,0.9607645875251509,0.03333333333333333,0.02,0.025
Custom Dict,0.003,0.9491951710261569,0.05263157894736842,0.06,0.056074766355140186
Custom Dict,0.001,0.9325955734406438,0.043478260869565216,0.08,0.056338028169014086
RoBERTa,0.005,0.8777665995975855,0.05116279069767442,0.22,0.0830188679245283
RoBERTa,0.0035,0.852112676056338,0.057971014492753624,0.32,0.09815950920245399
RoBERTa,0.0095,0.9275653923541247,0.08035714285714286,0.18,0.1111111111111111
RoBERTa,0.003,0.8390342052313883,0.052980132450331126,0.32,0.09090909090909091
RoBERTa,0.001,0.7831991951710262,0.053864168618266976,0.46,0.09643605870020965
TextBlob,0.005,0.93158953722334,0.022222222222222223,0.04,0.02857142857142857
TextBlob,0.0035,0.9240442655935613,0.01904761904761905,0.04,0.025806451612903226
TextBlob,0.0095,0.9496981891348089,0.019230769230769232,0.02,0.0196078431372549
TextBlob,0.003,0.9215291750503019,0.03508771929824561,0.08,0.04878048780487805
TextBlob,0.001,0.9134808853118712,0.03076923076923077,0.08,0.044444444444444446
VADER,0.005,0.9491951710261569,0.03636363636363636,0.04,0.0380952380952381
VADER,0.0035,0.9386317907444668,0.05,0.08,0.06153846153846154
VADER,0.0095,0.9607645875251509,0.0625,0.04,0.04878048780487805
VADER,0.003,0.932092555331992,0.043010752688172046,0.08,0.055944055944055944
VADER,0.001,0.9084507042253521,0.05405405405405406,0.16,0.08080808080808081
