model,threshold,accuracy,precision,recall,f1,f2
BERT,0.1,0.1981891348088531,0.030413625304136254,1.0,0.0590318772136954,0.13557483731019523
BERT,0.2,0.2716297786720322,0.03337783711615487,1.0,0.06459948320413436,0.14723203769140164
BERT,0.30000000000000004,0.3329979879275654,0.036337209302325583,1.0,0.07012622720897616,0.15862944162436549
BERT,0.4,0.9688128772635815,0.4268292682926829,0.7,0.5303030303030303,0.6205673758865248
BERT,0.5,0.988430583501006,0.8292682926829268,0.68,0.7472527472527473,0.7053941908713693
BERT,0.6,0.9914486921529175,1.0,0.66,0.7951807228915663,0.7081545064377682
BERT,0.7000000000000001,0.9904426559356136,1.0,0.62,0.7654320987654321,0.670995670995671
BERT,0.8,0.988430583501006,1.0,0.54,0.7012987012987013,0.5947136563876652
Custom Dict,0.1,0.06539235412474849,0.02620545073375262,1.0,0.05107252298263534,0.11859582542694497
Custom Dict,0.2,0.07545271629778671,0.026483050847457626,1.0,0.05159958720330237,0.11973180076628352
Custom Dict,0.30000000000000004,0.079476861167002,0.026595744680851064,1.0,0.05181347150259067,0.1201923076923077
Custom Dict,0.4,0.08350100603621731,0.026709401709401708,1.0,0.05202913631633715,0.12065637065637065
Custom Dict,0.5,0.977364185110664,0.8571428571428571,0.12,0.21052631578947367,0.14492753623188406
Custom Dict,0.6,0.9778672032193159,1.0,0.12,0.21428571428571427,0.14563106796116504
Custom Dict,0.7000000000000001,0.9778672032193159,1.0,0.12,0.21428571428571427,0.14563106796116504
Custom Dict,0.8,0.977364185110664,1.0,0.1,0.18181818181818182,0.12195121951219512
RoBERTa,0.1,0.1579476861167002,0.029002320185614848,1.0,0.05636978579481398,0.12993762993762994
RoBERTa,0.2,0.20422535211267606,0.030637254901960783,1.0,0.059453032104637336,0.13646288209606988
RoBERTa,0.30000000000000004,0.23390342052313884,0.03178639542275906,1.0,0.061614294516327786,0.1410039481105471
RoBERTa,0.4,0.96579476861167,0.3783783783783784,0.56,0.45161290322580644,0.5109489051094891
RoBERTa,0.5,0.9818913480885312,0.6666666666666666,0.56,0.6086956521739131,0.5785123966942148
RoBERTa,0.6,0.9879275653923542,0.9642857142857143,0.54,0.6923076923076923,0.5921052631578947
RoBERTa,0.7000000000000001,0.988430583501006,1.0,0.54,0.7012987012987013,0.5947136563876652
RoBERTa,0.8,0.9869215291750503,1.0,0.48,0.6486486486486487,0.5357142857142857
TextBlob,0.1,0.0789738430583501,0.02658160552897395,1.0,0.05178663904712584,0.12013455069678039
TextBlob,0.2,0.08651911468812877,0.02679528403001072,1.0,0.05219206680584551,0.12100677637947725
TextBlob,0.30000000000000004,0.08953722334004025,0.026881720430107527,1.0,0.05235602094240838,0.12135922330097088
TextBlob,0.4,0.0925553319919517,0.02696871628910464,1.0,0.052521008403361345,0.12171372930866602
TextBlob,0.5,0.09356136820925554,0.026486486486486487,0.98,0.05157894736842105,0.11951219512195121
TextBlob,0.6,0.9763581488933601,1.0,0.06,0.11320754716981132,0.07389162561576355
TextBlob,0.7000000000000001,0.9763581488933601,1.0,0.06,0.11320754716981132,0.07389162561576355
TextBlob,0.8,0.9758551307847082,1.0,0.04,0.07692307692307693,0.04950495049504951
VADER,0.1,0.07997987927565392,0.026609898882384245,1.0,0.05184033177812338,0.12025012025012025
VADER,0.2,0.09909456740442656,0.027159152634437807,1.0,0.05288207297726071,0.1224889759921607
VADER,0.30000000000000004,0.11368209255533199,0.02759381898454746,1.0,0.05370569280343716,0.1242544731610338
VADER,0.4,0.12424547283702213,0.027917364600781685,1.0,0.054318305268875614,0.12556504269211452
VADER,0.5,0.9788732394366197,0.75,0.24,0.36363636363636365,0.2777777777777778
VADER,0.6,0.9808853118712274,1.0,0.24,0.3870967741935484,0.2830188679245283
VADER,0.7000000000000001,0.9808853118712274,1.0,0.24,0.3870967741935484,0.2830188679245283
VADER,0.8,0.9808853118712274,1.0,0.24,0.3870967741935484,0.2830188679245283
