airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam,total,positive_percentage,neutral_percentage,negative_percentage
Corridor Finance,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Nyan Heroes,10.41086548,0,3.026446186,612,51,20,359,-0.012066045,FALSE,13.43731167,77.47729411,0,22.52270589
Cyber,30227.00824,0,14570.18373,32132,363150,352,27202,-0.487265794,FALSE,44797.19197,67.47522983,0,32.52477017
Ouinex,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
zkSync,9511.908637,0,1239.2028,34838,60405,832,25166,-0.237462134,FALSE,10751.11144,88.47372379,0,11.52627621
DOGS,91359.62144,0,52988.41263,31605,820331,165,29306,-1.214086657,FALSE,144348.0341,63.29121281,0,36.70878719
Pontem,5.175038052,0,1.065449011,751,114,25,451,-0.005472156,FALSE,6.240487062,82.92682927,0,17.07317073
ether.fi,895.9215477,0,137.1244946,5144,3623,208,3517,-0.147511091,FALSE,1033.046042,86.72619719,0,13.27380281
Ostium,2688.025614,0,435.0772444,2276,59129,85,1887,-0.989871867,FALSE,3123.102858,86.06907091,0,13.93092909
Ancient8,6.566955305,0,0,204,89,7,157,-0.032190957,FALSE,6.566955305,100,0,0
Usual,258337.7831,0,189468.2924,143152,2954731,1294,129109,-0.481093458,FALSE,447806.0755,57.68965569,0,42.31034431
BlastUP,425.7802681,0,0,3548,1323,56,3081,-0.120005713,FALSE,425.7802681,100,0,0
Base,675779.1211,0,339688.8851,610542,8731063,6569,523081,-0.550478486,FALSE,1015468.006,66.5485389,0,33.4514611
Reactor Fusion,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Merkle Trade,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
PancakeSwap,10561.41465,0,1322.64066,18318,102866,254,14397,-0.504354951,FALSE,11884.05531,88.87046024,0,11.12953976
MYX,7243.074057,0,5541.520267,3722,80223,95,2730,-0.457161147,FALSE,12784.59432,56.65470388,0,43.34529612
IBX,8452.72506,0,1506.508308,9384,35725,178,7292,-0.740219176,FALSE,9959.233368,84.87325026,0,15.12674974
Texture,4189.443633,0,2586.960187,5227,48550,50,4783,-0.306578046,FALSE,6776.40382,61.82399609,0,38.17600391
VaultCraft,1.47123239,0,0.023523877,2050,18,30,1896,-0.000706199,FALSE,1.494756266,98.42623997,0,1.573760035
Newtify,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Grass,34540.89773,0,12331.30424,10724,326558,108,9609,-2.071017669,FALSE,46872.20197,73.69164724,0,26.30835276
Lavarage,0,0,0,56,0,2,36,0,FALSE,0,0,0,0
Scroll,56762.41828,0,12382.92647,16619,1215247,318,13259,-2.670406872,FALSE,69145.34475,82.09145313,0,17.90854687
Swords & Dungeons,0,0,0.436681223,24,1,1,11,0.018195051,TRUE,0.436681223,0,0,100
Rain.fi,0,0,0,46,7,2,30,0,FALSE,0,0,0,0
Macaron,3855.526817,0,482.1289691,1012,23144,35,748,-3.333397083,FALSE,4337.655786,88.88503392,0,11.11496608
