airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam
Corridor Finance,0,0,0,0,0,0,0,0,FALSE
Nyan Heroes,1.11E-06,0,3.49E-07,0.000114245,2.10E-07,0.000217379,8.70E-05,-0.00682318,FALSE
Cyber,0.00086765,0,0.001475764,0.005998258,0.001492388,0.003825879,0.006592882,0.043863761,TRUE
Ouinex,0,0,0,0,0,0,0,0,FALSE
zkSync,0.00043342,0,0.000195721,0.006503402,0.000248238,0.009042987,0.006099422,-0.040068472,FALSE
DOGS,0.004058361,0,0.003516123,0.00589988,0.003371202,0.001793381,0.007102823,-0.206984128,FALSE
Pontem,5.45E-07,0,1.89E-07,0.000140193,4.68E-07,0.000271724,0.000109308,-0.002634495,FALSE
ether.fi,4.79E-05,0,1.87E-05,0.000960259,1.49E-05,0.002260747,0.000852407,-0.032162529,FALSE
Ostium,0.000209992,0,7.90E-05,0.000424873,0.000242994,0.000923863,0.000457348,-0.324201418,FALSE
Ancient8,4.06E-07,0,0,3.81E-05,3.66E-07,7.61E-05,3.81E-05,-0.009899164,FALSE
Usual,0.012864645,0,0.013253859,0.026722973,0.012142653,0.014064453,0.031291831,-0.08774683,FALSE
BlastUP,3.08E-05,0,0,0.000662325,5.44E-06,0.000608663,0.000746734,-0.043213194,FALSE
Base,0.030613281,0,0.045929528,0.113973241,0.035880854,0.071398294,0.126777857,0.042449389,TRUE
Reactor Fusion,0,0,0,0,0,0,0,0,FALSE
Merkle Trade,0,0,0,0,0,0,0,0,FALSE
PancakeSwap,0.00053042,0,0.000228664,0.003419522,0.000422734,0.00276072,0.003489366,-0.095557782,FALSE
MYX,0.001373346,0,0.000222118,0.000694806,0.000329681,0.001032553,0.000661663,-1.603124989,FALSE
IBX,0.000110823,0,0.000111076,0.001751763,0.000146814,0.001934677,0.001767344,-0.012812234,FALSE
Texture,0.000234668,0,8.66E-05,0.000975753,0.000199519,0.000543449,0.001159244,-0.158953012,FALSE
VaultCraft,7.42E-08,0,7.82E-08,0.000382685,7.40E-08,0.000326069,0.000459529,-3.20E-05,FALSE
Newtify,0,0,0,0,0,0,0,0,FALSE
Grass,0.000830916,0,0.002598507,0.002001908,0.001342011,0.001173849,0.00232891,0.554489431,TRUE
Lavarage,0,0,0,1.05E-05,0,2.17E-05,8.73E-06,0,FALSE
Scroll,0.002688241,0,0.006523931,0.00310236,0.004994134,0.003456334,0.003213551,0.718184566,TRUE
