Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count,Temp
Thruster,0,1,0,12,3,0
Rabby Wallet,0,0,0,15,5,0
Token Metrics,0,0,1,4,6,0
Tari,0,1,0,8,8,0
Imaginary Ones,0,1,1,8,6,0
Glacier Network,0,1,0,18,5,36
Zyfi,0,1,0,13,4,0
Aethir,0,1,0,11,3,0
Storm Trade,0,1,1,9,2,0
Holograph,0,1,0,8,4,0
Phaver,1,1,0,16,6,1
EigenLayer,0,1,0,15,3,55
Elfin,0,1,0,10,7,0
Masa,0,1,0,14,7,0
SpaceCatch,0,1,1,9,7,1
Mande Network,0,1,0,10,4,0
Xtremeverse,0,1,0,9,3,0
Fyde,0,1,0,10,4,2
Ekubo,0,1,0,7,5,0
CAGA,0,1,1,8,5,1
Sanctum,0,0,0,19,3,4
zkPass,0,0,2,8,5,0
Nyan Heroes,0,1,0,9,5,0
My Lovely Planet,0,1,0,7,4,2
Tabi,0,1,0,11,6,0
Mode,0,1,0,24,7,3405
Particle Network,0,1,0,17,4,0
XSwap,0,1,0,11,7,0
ZeroLend,0,1,0,9,6,0
Aperture Finance,0,1,0,12,5,0
Primex,1,1,0,20,5,1
MYTH,0,1,2,5,4,1
Immutable,1,1,0,22,9,1
Drift Protocol,0,0,0,11,5,0
Another-1,0,1,3,10,5,10
Raiinmaker,0,1,3,9,5,0
Renzo,0,1,0,22,5,0
Blackwing,0,1,0,11,4,6108
Kamino,0,1,0,14,7,0
Saltwater Games,0,1,2,10,6,1
UpRock,0,1,1,9,3,5
LunarStorm,0,1,3,5,6,2
Revolving Games,0,0,0,8,4,0
PlanetQuest,0,1,1,12,4,1
Zoth,0,1,0,12,5,0
IntentX,0,1,0,14,4,0
BeFi Labs,0,1,0,5,6,0
Reya Network,0,1,0,11,4,5
Moongate,0,1,1,11,5,0
Sophon,0,0,0,5,2,0
Pixelverse,0,0,1,8,5,0
Apillon,0,1,1,10,5,0
Bemo,0,1,0,11,3,0
MilkyWay,0,1,0,10,6,0
Astaria,0,1,0,11,5,0
BSX,0,0,0,9,4,6459
OrangeLayer,0,1,0,7,3,0
InceptionLRT,0,1,0,9,5,0
MANTRA,0,1,0,6,8,0
BounceBit,0,1,0,12,4,0
BlastOff,0,1,0,13,4,1
Soarchain,0,1,0,19,6,0
Elixir,0,1,0,15,4,0
Omni Network,0,1,0,15,8,-1
Solv Protocol,0,1,0,13,5,0
Planet Mojo,0,0,2,5,5,0
Parcl,0,1,0,17,6,1
DTX,0,1,0,15,4,0
Cryptopia,0,1,1,10,6,0
Ultimate Digits,0,1,0,6,4,1
Zeta,0,1,0,13,4,0
MPRO Lab,0,1,1,5,5,1
Juice,0,1,0,18,5,0
deBridge,0,1,0,11,8,15
Karak,0,1,0,12,5,6300
RedStone,0,1,2,11,5,0
Tensor,0,1,0,8,6,0
Pac Finance,0,1,0,13,3,0
OverTrip,0,0,2,7,2,0
BlockGames,0,0,0,10,7,0
Grass,0,1,0,14,3,16
Warden Protocol,0,1,0,11,6,0
Base Name Service,0,1,0,11,3,1
Scallop,0,1,0,11,5,0
