Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count
Paradex,0,0,0,12,3
Beranames,0,0,0,8,4
Grand Conquest,0,0,0,5,3
Bit2,0,0,0,6,2
Swaye,0,0,0,10,3
Deek Network,0,0,0,11,3
Saku Monsters,0,0,0,8,2
SEAL,0,0,0,10,3
Fractal Bitcoin,0,1,0,10,4
Scroll Pump,0,0,0,7,2
Plaza Finance,0,0,0,7,3
OP_NET,0,1,0,6,4
GasPump,0,0,0,12,4
Arcium,0,0,0,9,4
Asteria Finance,0,0,0,9,4
BinStep,0,0,0,7,3
Sui Name Service,0,0,0,7,3
Vanilla Finance,0,0,0,7,4
XSTAR,0,0,0,6,3
dMarqt,0,1,0,6,3
Avalon Labs,0,0,0,6,3
FATTY,0,1,0,7,4
Balance Games,0,0,0,6,4
Event Horizon,0,0,0,7,4
Vana,0,0,0,4,2
Script Network,2,1,0,38,5
Goldlink,0,0,0,12,5
Lombard,0,0,0,11,4
Kwenta,0,0,0,9,6
PopCoin,0,0,0,10,3
predict.fun,0,0,0,12,3
Grass,0,1,0,22,3
Skate,0,0,1,8,3
HyperQuant,0,0,0,7,4
Moonwalk Fitness,0,1,0,14,3
Battle Showdown: Gambit,0,1,1,18,6
Rainbow Protocol,0,0,0,7,3
EtherMail,0,0,1,11,3
DIN,1,0,0,15,5
Zombie,0,0,0,10,3
Reservoir,0,0,0,14,2
waveX,0,0,0,7,3
Four.Meme,0,0,0,10,4
Not Pixel,0,0,0,6,3
EMC,0,0,0,8,4
Satspumpfun,0,0,0,7,4
nuffle,0,0,0,21,2
DuckChain,0,0,0,7,3
Nundu,0,0,1,6,3
Echo Protocol,0,0,0,7,3
Hemi Network,0,1,0,9,5
Acre,0,0,0,9,3
Curvance,0,0,0,12,4
Pear Protocol,0,0,0,11,4
Nodepay,0,0,0,8,4
Lobster Protocol,0,0,0,7,4
Soneium,0,0,0,12,4
Magic Eden,0,0,0,7,3
Sharpe,0,1,1,12,4
Origami Finance,0,0,0,7,3
NX Finance,0,1,0,15,3
Story Protocol,0,0,0,9,4
Bedrock,0,0,0,5,5
DAWN,0,1,0,14,4
Wizzwoods,0,0,0,7,2
Solana ID,0,1,0,9,4
Chainbase,0,0,0,8,5
Orderly Network,0,0,0,11,8
