Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count,is_scam
Paradex,0,0,0,12,3,0
Beranames,0,0,0,8,4,0
Grand Conquest,0,0,0,5,3,0
Bit2,0,0,0,6,2,0
Swaye,0,0,0,10,3,0
Deek Network,0,0,0,11,3,0
Saku Monsters,0,0,0,8,2,0
SEAL,0,0,0,10,3,0
Fractal Bitcoin,0,1,0,10,4,0
Scroll Pump,0,0,0,7,2,0
Plaza Finance,0,0,0,7,3,0
OPNET,0,1,0,6,4,0
GasPump,0,0,0,12,4,0
Arcium,0,0,0,9,4,0
Asteria Finance,0,0,0,9,4,0
BinStep,0,0,0,7,3,0
Sui Name Service,0,0,0,7,3,0
Vanilla Finance,0,0,0,7,4,0
XSTAR,0,0,0,6,3,0
dMarqt,0,1,0,6,3,0
Avalon Labs,0,0,0,6,3,0
FATTY,0,1,0,7,4,0
Balance Games,0,0,0,6,4,0
Event Horizon,0,0,0,7,4,0
Vana,0,0,0,4,2,0
Script Network,2,1,0,38,5,0
Goldlink,0,0,0,12,5,0
Lombard,0,0,0,11,4,0
Kwenta,0,0,0,9,6,0
PopCoin,0,0,0,10,3,0
predictfun,0,0,0,12,3,0
Grass,0,1,0,22,3,0
Skate,0,0,1,8,3,0
HyperQuant,0,0,0,7,4,0
Moonwalk Fitness,0,1,0,14,3,0
Battle Showdown Gambit,0,1,1,18,6,0
Rainbow Protocol,0,0,0,7,3,0
EtherMail,0,0,1,11,3,0
DIN,1,0,0,15,5,0
Zombie,0,0,0,10,3,0
Reservoir,0,0,0,14,2,0
waveX,0,0,0,7,3,0
FourMeme,0,0,0,10,4,0
Not Pixel,0,0,0,6,3,0
EMC,0,0,0,8,4,0
Satspumpfun,0,0,0,7,4,0
nuffle,0,0,0,21,2,0
DuckChain,0,0,0,7,3,0
Nundu,0,0,1,6,3,0
Echo Protocol,0,0,0,7,3,0
Hemi Network,0,1,0,9,5,0
Acre,0,0,0,9,3,0
Curvance,0,0,0,12,4,0
Pear Protocol,0,0,0,11,4,0
Nodepay,0,0,0,8,4,0
Lobster Protocol,0,0,0,7,4,0
Soneium,0,0,0,12,4,0
Magic Eden,0,0,0,7,3,0
Sharpe,0,1,1,12,4,0
Origami Finance,0,0,0,7,3,0
NX Finance,0,1,0,15,3,0
Story Protocol,0,0,0,9,4,0
Bedrock,0,0,0,5,5,0
DAWN,0,1,0,14,4,0
Wizzwoods,0,0,0,7,2,0
Solana ID,0,1,0,9,4,0
Chainbase,0,0,0,8,5,0
Orderly Network,0,0,0,11,8,0
DOGS,0,0,0,5,5,0
Every Finance,0,0,0,8,4,0
Q Protocol,0,0,0,6,3,0
Bool Network,0,1,0,11,5,0
Pentagon Games,0,0,0,8,4,0
Drop,0,0,0,10,3,0
Kamino,0,1,0,14,7,0
B3,0,0,0,9,2,0
Sui,1,1,0,16,7,0
4Cast,0,0,0,7,3,0
KOR Protocol,0,0,0,8,4,0
Gudchain,0,0,0,5,2,0
based MC,0,0,0,4,4,0
DefiMoney,0,0,0,12,5,0
Reddio,0,0,0,7,3,0
Spectral,0,1,0,8,5,0
Renzo,0,1,0,7,8,0
Game7,0,0,0,10,4,0
Moongate,1,1,0,20,5,0
Hourglass,0,0,0,7,3,0
Frenzy Farm,0,0,0,10,4,0
Gyroscope,0,0,0,8,4,0
Vessel,0,0,0,12,4,0
dumpyfun,0,0,0,5,3,0
XenoBunny,0,0,0,11,3,0
YieldNest,0,0,0,6,4,0
Retro Bridge,1,0,0,19,4,0
Jupiter,0,1,0,14,6,0
Abstract,0,0,0,9,2,0
deBridge,0,1,0,17,7,0
LazyOtter,0,0,0,14,4,0
Orange Finance,0,0,0,7,3,0
ISC Money,0,0,0,8,3,0
Loop,0,0,0,7,3,0
Shardeum,0,0,0,11,7,0
Sonic Labs,0,0,0,6,6,0
Duper,0,0,0,14,3,0
KAYEN Protocol,0,0,0,6,5,0
Meso Finance,0,0,0,9,4,0
Shieldeum,0,0,0,6,3,0
PancakeSwap,0,0,0,11,7,0
Zircuit,0,0,0,17,3,0
Tari,0,1,0,10,7,0
GRVT,0,0,1,11,4,0
DeBank,0,0,0,13,5,0
Spaace,0,1,0,5,2,0
Mezo,0,0,0,15,3,0
The Vault,0,0,0,10,3,0
Movement,0,0,0,17,4,0
Shaga,0,0,0,9,3,0
Elixir,0,1,0,21,4,0
Stride,0,1,0,11,7,0
Zotto,0,0,0,8,3,0
Agent,0,0,0,17,4,0
Safe,0,0,0,12,7,0
Bracket,0,0,0,9,4,0
Side Protocol,0,0,0,10,5,0
Pontem,0,0,0,12,7,0
Swell,0,1,0,15,5,0
JuicyPerp,0,0,0,9,3,0
Zesh,0,1,2,4,4,0
Omni Network,0,1,0,10,8,0
Delta Trade,0,0,0,7,3,0
Hinkal,0,1,0,8,4,0
Henez Finance,0,0,0,8,4,0
Binance,1,1,1,41,8,0
Prerich,0,0,1,15,3,0
Acki Nacki,0,0,0,4,3,0
Naoris Protocol,0,1,1,8,4,0
StratoVM,0,0,0,10,5,0
Nimbora,0,0,0,9,4,0
Credbull,0,0,2,7,5,0
Super Champs,0,1,0,7,3,0
Mint,0,0,0,9,5,0
SupraOracles,0,1,2,9,5,0
Sanctum,0,0,0,10,6,0
etherfi,0,1,0,14,8,0
Ancient8,0,0,0,13,4,0
Usual,0,0,0,16,4,0
BlastUP,0,0,0,10,6,0
Reactor Fusion,0,0,0,4,3,0
