Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count,Temp
FakeAirdrop1,1,1,1,0,2,4
FakeAirdrop2,0,0,0,0,0,-2
FakeAirdrop3,0,0,0,0,2,-4
FakeAirdrop4,1,0,0,4,0,-9
FakeAirdrop5,0,0,1,4,0,-5
FakeAirdrop6,0,1,0,0,1,3
FakeAirdrop7,0,0,0,1,2,-4
FakeAirdrop8,0,0,0,3,1,0
FakeAirdrop9,0,0,1,2,0,0
FakeAirdrop10,0,0,0,3,0,-7
FakeAirdrop11,0,0,0,4,1,-1
FakeAirdrop12,0,0,1,1,2,-7
FakeAirdrop13,0,0,1,1,1,2
FakeAirdrop14,0,0,1,1,1,-2
FakeAirdrop15,0,0,1,0,1,-7
FakeAirdrop16,0,0,0,0,2,-3
FakeAirdrop17,0,0,1,2,0,-7
FakeAirdrop18,0,0,0,2,1,-3
FakeAirdrop19,0,0,1,1,1,-9
FakeAirdrop20,0,0,1,2,0,-6
FakeAirdrop21,1,0,0,4,2,3
FakeAirdrop22,0,0,0,4,2,0
FakeAirdrop23,0,0,0,2,0,3
FakeAirdrop24,0,0,1,4,0,-4
FakeAirdrop25,0,0,1,1,0,4
FakeAirdrop26,1,0,1,1,1,-5
FakeAirdrop27,0,0,0,3,2,-6
FakeAirdrop28,0,0,0,1,1,-7
FakeAirdrop29,0,0,0,4,0,-5
FakeAirdrop30,0,0,0,4,1,3
FakeAirdrop31,1,0,0,1,1,-2
FakeAirdrop32,0,1,0,4,0,-2
FakeAirdrop33,0,0,0,3,2,0
FakeAirdrop34,1,0,0,2,2,4
FakeAirdrop35,0,0,0,4,1,4
FakeAirdrop36,0,0,0,2,0,2
FakeAirdrop37,0,0,1,0,0,-5
FakeAirdrop38,0,1,1,1,2,2
FakeAirdrop39,0,0,1,4,1,0
FakeAirdrop40,0,0,0,2,2,3
FakeAirdrop41,1,0,1,3,0,-4
FakeAirdrop42,0,0,1,1,0,-7
FakeAirdrop43,0,0,1,4,0,-8
FakeAirdrop44,0,0,0,0,0,-8
FakeAirdrop45,0,0,0,0,2,-9
FakeAirdrop46,1,0,0,2,1,-8
FakeAirdrop47,0,0,1,3,2,-6
FakeAirdrop48,1,0,1,2,2,4
FakeAirdrop49,0,0,0,1,0,-10
FakeAirdrop50,0,0,1,1,0,2
FakeAirdrop51,0,0,0,4,2,-9
FakeAirdrop52,0,0,0,3,0,-1
FakeAirdrop53,0,0,1,0,0,-4
FakeAirdrop54,0,0,0,0,1,-5
FakeAirdrop55,1,1,0,4,0,-9
FakeAirdrop56,0,0,1,4,2,-4
FakeAirdrop57,0,0,1,2,2,-9
FakeAirdrop58,0,0,1,2,1,-10
FakeAirdrop59,0,0,1,3,1,-4
FakeAirdrop60,0,0,0,0,0,-9
FakeAirdrop61,0,0,1,2,1,3
FakeAirdrop62,1,0,0,0,2,-9
FakeAirdrop63,1,0,0,3,2,2
FakeAirdrop64,1,0,1,1,0,-7
FakeAirdrop65,0,0,1,4,0,-1
FakeAirdrop66,1,0,1,0,0,-7
FakeAirdrop67,0,0,1,1,1,1
FakeAirdrop68,0,0,0,3,1,-5
FakeAirdrop69,0,0,0,3,0,2
FakeAirdrop70,0,0,0,4,1,-6
FakeAirdrop71,0,0,1,3,1,-10
FakeAirdrop72,0,0,1,2,2,-3
FakeAirdrop73,0,0,1,3,0,-8
FakeAirdrop74,0,0,1,3,0,-5
FakeAirdrop75,1,0,1,3,1,-10
FakeAirdrop76,1,0,0,4,1,-5
FakeAirdrop77,0,1,0,1,0,-10
FakeAirdrop78,0,0,0,1,1,-1
FakeAirdrop79,0,1,0,1,1,-10
FakeAirdrop80,0,0,1,1,1,-4
FakeAirdrop81,0,0,1,1,0,-2
